id_partL1,num_level,id_part,num_itemMatCost,num_itemCost,num_inv,num_poCost
122T6233P0001,1,122T6233P0001,33202.4,0.0,19098.02046,0.0
113T8140G0001,1,113T8140G0001,14528.0,0.0,8356.5056,0.0
122T6225P0001,1,122T6225P0001,132809.6,0.0,76392.08194,0.0
110T3435P0001,1,110T3435P0001,738722.8896,0.0,424913.4061,0.0
108T5289G0001,1,108T5289G0001,332329.7923,0.0,191156.0965,0.0
118T1919P0001,1,118T1919P0001,256377.0,0.0,147468.0504,0.0
117T6924P0001,1,117T6924P0001,170027.3,0.0,97799.70297,0.0
113T4595G0001,1,113T4595G0001,460000.0,0.0,264592.0,0.0
107T4932G001,1,107T4932G001,1542659.976,0.0,887338.0183,0.0
112T8062P0001,1,112T8062P0001,207000.0,0.0,119066.4,0.0
122T4993P0001,1,122T4993P0001,147038.18,0.0,84576.36114,0.0
146E4756G016,1,146E4756G016,100725.0,0.0,57937.02,0.0
114T8745P0001,1,114T8745P0001,177200.0,0.0,101925.44,0.0
117T0437G0001,1,117T0437G0001,600216.1776,0.0,345244.3454,0.0
365A4115P001,1,365A4115P001,1075.0,0.0,618.34,5401.875
116T7616P0001,1,116T7616P0001,3734.34,0.0,2147.992343,0.0
111T0244P0001,1,111T0244P0001,29706.5701,0.0,17087.21914,0.0
362A5194P0001,1,362A5194P0001,23800.0,0.0,13689.76,0.0
117T6698P0001,1,117T6698P0001,14022.37,0.0,8065.6672,0.0
107T2196G0001,1,107T2196G0001,603500.0,0.0,347133.2,0.0
368A2195P006,1,368A2195P006,47576.97,0.0,27366.273139999998,0.0
113T8336G0001,1,113T8336G0001,39874.45,0.0,22935.78366,0.0
117T3681G0001,1,117T3681G0001,204500.0,0.0,117628.4,0.0
116T4210G0001,1,116T4210G0001,194674.0,0.0,111976.4848,0.0
109T1912G0001,1,109T1912G0001,232700.0,0.0,133849.04,0.0
114L2787G0002,1,114L2787G0002,689315.0,0.0,396493.98799999995,0.0
117T4762P0001,1,117T4762P0001,107177.33,0.0,61648.40022999999,0.0
113T5628G0001,1,113T5628G0001,177350.0,0.0,102011.72,0.0
372A4422P015,1,372A4422P015,31828.1801,0.0,18307.5692,0.0
389A6631P003,1,389A6631P003,24848.0,0.0,25011.9968,1.0
