id_baseReq,desc_frameFam,id_task,id_partL1,num_partCount,id_tparent,desc_projectState,id_req,id_frame,desc_status,num_stockInd,num_totLead,date_contractStart,date_issueFMI
CR3B,9/1A-H,1401,102T8803G002,4,367A6835G005,Complete,CR3B,91E,Active,0,105.0,7/5/2015,12/6/2015
CR3B,9/1A-H,1402,101T9158G002,4,367A7464G001,Complete,CR3B,91E,Active,0,96.42857143,12/2/2015,3/1/2016
CR3B,9/1A-H,1402,101T9158G002,4,367A7464G006,Complete,CR3B,91E,Active,0,96.42857143,2/10/2016,4/26/2016
CR3B,9/1A-H,1402,101T9158G002,4,367A6835G005,Complete,CR3B,91E,Active,0,96.42857143,7/5/2015,12/6/2015
CR3B,9/1A-H,1402,101T9158G002,4,367A6835G005,Complete,CR3B,91E,Active,0,96.42857143,7/5/2015,12/6/2015
CR3B,9/1A-H,A019,120T3230P001,1,367A7464G001,Complete,CR3B,91E,Active,0,96.28571429,12/2/2015,3/1/2016
CR3L,6/1A-C,0805,811L1393G007,1,367A6761G002,Complete,CR3L,61B,Active,0,100.7428571,3/18/2015,8/25/2015
CR3L,7/1FA,0104,101T3568G001,3,367A6156G014,Complete,CR3L,7FA.03,Active,0,59.57142857,6/26/2014,8/27/2014
CR3L,7/1FA,0104,101T3568G001,3,367A6156G013,Complete,CR3L,7FA.03,Active,0,59.57142857,6/11/2014,9/25/2014
CR3L,7/1FA,0104,101T3568G001,3,367A6156G013,Complete,CR3L,7FA.03,Active,0,59.57142857,6/11/2014,9/25/2014
CR3L,7/1FA,0106,101T3568G001,1,367A5786G009,Complete,CR3L,7FA.04,Active,0,59.57142857,9/4/2014,3/23/2015
CR3L,7/1FA,0106,114T7350G0001,1,367A5786G009,Complete,CR3L,7FA.04,Active,0,48.14285714,9/4/2014,3/23/2015
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0507,372A4840P015,17,367A6897G004,Complete,CR3L,7FA.01,Active,0,77.0,5/10/2016,1/16/2017
CR3L,7/1FA,0513,111T3375G0007,2,367A4979G009,Complete,CR3L,7FA.03,Active,0,117.33333329999999,8/19/2015,12/22/2015
CR3L,7/1FA,0513,111T3375G0007,2,367A4979G009,Complete,CR3L,7FA.03,Active,0,117.33333329999999,8/19/2015,12/22/2015
CR3L,7/1FA,0513,147E2687G010,2,367A7006G052,Complete,CR3L,7FA.03,Active,0,155.5,3/27/2015,8/25/2015
CR3L,7/1FA,0513,147E2687G010,2,367A7313G020,Complete,CR3L,7FA.04,Active,0,155.5,7/30/2014,1/7/2015
CR3L,7/1FA,0548,389A5720P001,4,367A7392G001,Complete,CR3L,7FA.04,Pre-Active,0,47.94285714,7/2/2013,8/4/2014
CR3L,7/1FA,0548,389A5720P001,4,367A7392G001,Complete,CR3L,7FA.04,Pre-Active,0,47.94285714,7/2/2013,8/4/2014
CR3L,7/1FA,0548,389A5720P001,4,367A7392G002,Complete,CR3L,7FA.04,Pre-Active,0,47.94285714,9/23/2013,8/4/2014
CR3L,7/1FA,0548,389A5720P001,4,367A7392G002,Complete,CR3L,7FA.04,Pre-Active,0,47.94285714,9/23/2013,8/4/2014
CR3L,7/1FA,0703,116T7549G0001,1,367A6971G016,Complete,CR3L,7FA.03,Pre-Active,0,71.0,9/24/2014,10/20/2016
CR3L,7/1FA,0706,146E3513G0004,1,367A7392G001,Complete,CR3L,7FA.04,Active,0,123.9428571,7/2/2013,8/4/2014
CR3L,7/1FA,0706,146E3513G0005,1,367A7392G002,Complete,CR3L,7FA.04,Active,0,123.9428571,9/23/2013,8/4/2014
CR3L,7/1FA,0719,101T5626G001,2,367A6980G005,Complete,CR3L,7FA.01,Active,0,78.8,3/20/2014,3/10/2016
